ANN_model,digit_Ab,iteration,k,L,accuracy,TNrate,recall,f1,precision,time,metric
1,2,1,1,2,0.9366666666666666,0.9666666666666667,0.36666666666666664,0.36666666666666664,0.36666666666666664,4.189793586730957,Projection Distance
1,2,1,2,1,0.948,0.9726315789473684,0.48,0.48,0.48,4.928658723831177,Projection Distance
1,2,1,2,2,0.939,0.9678947368421053,0.39,0.39,0.39,4.929145574569702,Projection Distance
1,2,1,3,1,0.941,0.9689473684210527,0.41,0.41,0.41,4.671326398849487,Projection Distance
1,2,1,3,2,0.9496666666666667,0.9735087719298245,0.49666666666666665,0.49666666666666665,0.49666666666666665,4.671810865402222,Projection Distance
1,2,1,4,1,0.9356666666666666,0.966140350877193,0.3566666666666667,0.35666666666666674,0.3566666666666667,4.706983327865601,Projection Distance
1,2,1,4,2,0.937,0.966842105263158,0.37,0.37,0.37,4.707564115524292,Projection Distance
1,2,1,5,1,0.9416666666666667,0.9692982456140351,0.4166666666666667,0.4166666666666667,0.4166666666666667,4.689550399780273,Projection Distance
1,2,1,5,2,0.941,0.9689473684210527,0.41,0.41,0.41,4.690671920776367,Projection Distance
1,2,1,6,1,0.929,0.9626315789473684,0.29,0.29,0.29,6.228999614715576,Projection Distance
1,2,1,6,2,0.933,0.9647368421052631,0.33,0.33,0.33,6.229261636734009,Projection Distance
1,2,1,7,1,0.9436666666666667,0.9703508771929824,0.43666666666666665,0.43666666666666665,0.43666666666666665,4.796304225921631,Projection Distance
1,2,1,7,2,0.937,0.966842105263158,0.37,0.37,0.37,4.79693078994751,Projection Distance
1,2,1,8,1,0.9383333333333334,0.9675438596491228,0.38333333333333336,0.38333333333333336,0.38333333333333336,4.726585388183594,Projection Distance
1,2,1,8,2,0.948,0.9726315789473684,0.48,0.48,0.48,4.728407859802246,Projection Distance
1,2,1,9,1,0.9393333333333334,0.9680701754385965,0.3933333333333333,0.3933333333333333,0.3933333333333333,4.8812785148620605,Projection Distance
1,2,1,9,2,0.9356666666666666,0.966140350877193,0.3566666666666667,0.35666666666666674,0.3566666666666667,4.881564378738403,Projection Distance
1,2,1,10,1,0.9306666666666666,0.9635087719298245,0.30666666666666664,0.30666666666666664,0.30666666666666664,5.027944803237915,Projection Distance
1,2,1,10,2,0.9346666666666666,0.9656140350877193,0.3466666666666667,0.3466666666666667,0.3466666666666667,5.028453350067139,Projection Distance
1,2,2,1,1,0.9323333333333333,0.9643859649122807,0.3233333333333333,0.3233333333333333,0.3233333333333333,4.169512033462524,Projection Distance
1,2,2,1,2,0.9323333333333333,0.9643859649122807,0.3233333333333333,0.3233333333333333,0.3233333333333333,4.169924974441528,Projection Distance
1,2,2,2,1,0.9353333333333333,0.9659649122807018,0.35333333333333333,0.35333333333333333,0.35333333333333333,4.636848211288452,Projection Distance
1,2,2,2,2,0.9336666666666666,0.9650877192982457,0.33666666666666667,0.33666666666666667,0.33666666666666667,4.637665033340454,Projection Distance
1,2,2,3,1,0.934,0.9652631578947368,0.34,0.34,0.34,4.682016134262085,Projection Distance
1,2,2,3,2,0.9406666666666667,0.9687719298245614,0.4066666666666667,0.4066666666666667,0.4066666666666667,4.6741509437561035,Projection Distance
1,2,2,4,1,0.933,0.9647368421052631,0.33,0.33,0.33,4.716844320297241,Projection Distance
1,2,2,4,2,0.9296666666666666,0.9629824561403508,0.2966666666666667,0.2966666666666667,0.2966666666666667,4.717594146728516,Projection Distance
1,2,2,5,1,0.939,0.9678947368421053,0.39,0.39,0.39,4.633070468902588,Projection Distance
1,2,2,5,2,0.9426666666666667,0.9698245614035088,0.4266666666666667,0.42666666666666675,0.4266666666666667,4.633760929107666,Projection Distance
1,2,2,6,1,0.934,0.9652631578947368,0.34,0.34,0.34,5.075175523757935,Projection Distance
